date,temp1,temp2,temp3
01/07/2018 01:00,5.5,5.3,5.9
01/07/2018 02:00,5.5,5.3,5.8
01/07/2018 03:00,5.6,5.4,5.9
01/07/2018 04:00,5.7,5.4,5.9
01/07/2018 05:00,5.8,5.3,5.9
01/07/2018 06:00,5.8,5.3,5.9
01/07/2018 07:00,5.7,5.4,5.9
01/07/2018 08:00,5.6,5.4,5.8
01/07/2018 09:00,5.4,5.1,5.7
01/07/2018 10:00,5.7,5.3,5.8
01/07/2018 11:00,5.7,5.1,5.7
01/07/2018 12:00,5.7,5.4,5.9
01/07/2018 13:00,5.7,5.4,5.9
01/07/2018 14:00,5.5,5.2,5.7
01/07/2018 15:00,5.6,5.1,5.7
01/07/2018 16:00,5.7,5.1,5.8
01/07/2018 17:00,5.6,5.2,5.8
01/07/2018 18:00,5.6,5.2,5.8
01/07/2018 19:00,5.9,5.4,5.9
01/07/2018 20:00,5.5,5.2,5.7
01/07/2018 21:00,5.5,5.2,5.8
01/07/2018 22:00,5.8,5.4,5.9
01/07/2018 23:00,5.5,5.2,5.7
02/07/2018 00:00,5.4,5.1,5.7
02/07/2018 01:00,5.7,5.3,5.9
02/07/2018 02:00,5.8,5.4,5.9
02/07/2018 03:00,5.4,5.1,5.7
02/07/2018 04:00,5.4,5.2,5.8
02/07/2018 05:00,5.7,5.2,5.8
02/07/2018 06:00,5.6,5.2,5.8
02/07/2018 07:00,5.7,5.2,5.7
02/07/2018 08:00,5.7,5.5,5.9
02/07/2018 09:00,5.8,5.5,6
02/07/2018 10:00,5.5,5.2,5.7
02/07/2018 11:00,5.8,5.5,5.9
02/07/2018 12:00,5.7,5.4,5.9
02/07/2018 13:00,5.8,5.3,5.9
02/07/2018 14:00,5.5,5.2,5.7
02/07/2018 15:00,5.6,5.2,5.7
02/07/2018 16:00,5.8,5.4,5.8
02/07/2018 17:00,5.6,5.2,5.7
02/07/2018 18:00,5.7,5.4,5.8
02/07/2018 19:00,5.4,5.2,5.7
02/07/2018 20:00,5.4,5.1,5.7
02/07/2018 21:00,5.5,5.1,5.7
02/07/2018 22:00,5.7,5.4,5.8
02/07/2018 23:00,5.4,5.2,5.6
03/07/2018 00:00,5.7,5.4,5.8
03/07/2018 01:00,5.6,5.4,5.8
03/07/2018 02:00,5.7,5.2,5.7
03/07/2018 03:00,5.7,5.3,5.8
03/07/2018 04:00,5.8,5.4,5.9
03/07/2018 05:00,5.8,5.3,5.9
03/07/2018 06:00,5.8,5.3,5.8
03/07/2018 07:00,5.6,5.2,5.7
03/07/2018 08:00,5.9,5.4,5.9
03/07/2018 09:00,5.6,5.4,5.8
03/07/2018 10:00,5.5,5.2,5.8
03/07/2018 11:00,5.8,5.5,5.9
03/07/2018 12:00,5.9,5.2,5.1
03/07/2018 13:00,5.7,5.2,5.7
03/07/2018 14:00,5.7,5.3,5.7
03/07/2018 15:00,5.7,5.4,5.9
03/07/2018 16:00,5.9,5.2,5.1
03/07/2018 17:00,6,5.4,5.2
03/07/2018 18:00,6.2,5.4,5.2
03/07/2018 19:00,6.1,5.4,5.3
03/07/2018 20:00,6,5.4,5.2
03/07/2018 21:00,6.1,5.5,5.2
03/07/2018 22:00,6.1,5.4,5.2
03/07/2018 23:00,6.1,5.4,5.2
04/07/2018 00:00,6.2,5.4,5.3
04/07/2018 01:00,6.1,5.6,5.4
04/07/2018 02:00,6.1,5.5,5.3
04/07/2018 03:00,6.2,5.4,5.3
04/07/2018 04:00,6.2,5.6,5.3
04/07/2018 05:00,6.2,5.3,5.1
04/07/2018 06:00,6.1,5.4,5.4
04/07/2018 07:00,6.2,5.4,5.1
04/07/2018 08:00,6.3,5.4,5.2
04/07/2018 09:00,6.2,5.5,5.3
04/07/2018 10:00,6.2,5.5,5.4
04/07/2018 11:00,6.2,5.4,5.2
04/07/2018 12:00,6.3,5.5,5.4
04/07/2018 13:00,6.2,5.5,5.2
04/07/2018 14:00,6.2,5.2,5
04/07/2018 15:00,6.2,5.4,5.2
04/07/2018 16:00,6.2,5.4,5.2
04/07/2018 17:00,6.3,5.4,5.4
04/07/2018 18:00,6.2,5.2,5
04/07/2018 19:00,6.2,5.4,5.2
04/07/2018 20:00,6.2,5.4,5.2
04/07/2018 21:00,6.1,5.4,5.1
04/07/2018 22:00,6.2,5.5,5.4
04/07/2018 23:00,6.2,5.6,5.4
05/07/2018 00:00,6.2,5.6,5.4
05/07/2018 01:00,6.2,5.4,5.2
05/07/2018 02:00,6.2,5.4,5.2
05/07/2018 03:00,6.2,5.5,5.3
05/07/2018 04:00,6.2,5.5,5.2
05/07/2018 05:00,6.2,5.5,5.4
05/07/2018 06:00,6.2,5.4,5.2
05/07/2018 07:00,6.2,5.6,5.4
05/07/2018 08:00,6.2,5.3,5.1
05/07/2018 09:00,6.2,5.4,5.2
05/07/2018 10:00,6.2,5.2,5.1
05/07/2018 11:00,6.2,5.5,5.3
05/07/2018 12:00,6.2,5.2,5
05/07/2018 13:00,6.2,5.5,5.4
05/07/2018 14:00,6.3,5.5,5.4
05/07/2018 15:00,6.2,5.5,5.4
05/07/2018 16:00,6.2,5.6,5.4
05/07/2018 17:00,6.3,5.5,5.4
05/07/2018 18:00,6.2,5.6,5.4
05/07/2018 19:00,6.2,5.2,5.1
05/07/2018 20:00,6.2,5.4,5.2
05/07/2018 21:00,6.2,5.4,5.1
05/07/2018 22:00,6.1,5.4,5.2
05/07/2018 23:00,6.1,5.6,5.4
06/07/2018 00:00,6.2,5.4,5.2
06/07/2018 01:00,6.2,5.5,5.2
06/07/2018 02:00,6.2,5.4,5.3
06/07/2018 03:00,6.1,5.4,5.1
06/07/2018 04:00,6.2,5.4,5.2
06/07/2018 05:00,6.2,5.5,5.4
06/07/2018 06:00,6.1,5.1,5
06/07/2018 07:00,6.2,5.4,5.2
06/07/2018 08:00,6.2,5.2,5.1
06/07/2018 09:00,6.2,5.6,5.4
06/07/2018 10:00,6.2,5.2,5.1
06/07/2018 11:00,6.2,5.2,5
06/07/2018 12:00,6.2,5.4,5.2
06/07/2018 13:00,6.2,5.5,5.3
06/07/2018 14:00,6.2,5.3,5.1
06/07/2018 15:00,6,5.2,5.1
06/07/2018 16:00,6.2,5.2,5.1
06/07/2018 17:00,6.2,5.4,5.2
06/07/2018 18:00,6.1,5.4,5.4
06/07/2018 19:00,6.2,5.4,5.3
06/07/2018 20:00,6,5.4,5.2
06/07/2018 21:00,6.1,5.5,5.4
06/07/2018 22:00,6.2,5.2,5.2
06/07/2018 23:00,6,5.2,5.1
07/07/2018 00:00,6.1,5.2,5.2
07/07/2018 01:00,6,5.5,5.3
07/07/2018 02:00,6.1,5.1,5.1
07/07/2018 03:00,6,5.4,5.3
07/07/2018 04:00,6,5.5,5.4
07/07/2018 05:00,6,5.4,5.4
07/07/2018 06:00,6.2,5.6,5.4
07/07/2018 07:00,6.1,5.6,5.2
07/07/2018 08:00,6.1,5.5,5.2
07/07/2018 09:00,6.2,5.6,5.2
07/07/2018 10:00,6.1,5.5,5.2
07/07/2018 11:00,6.1,5.6,5.2
07/07/2018 12:00,6,5.4,5.1
07/07/2018 13:00,6,5.6,5.4
07/07/2018 14:00,6,5.4,5
07/07/2018 15:00,6,5.6,5.4
07/07/2018 16:00,6.1,5.4,5.1
07/07/2018 17:00,6.1,5.5,5.2
07/07/2018 18:00,6.1,5.6,5.3
07/07/2018 19:00,6,5.5,5.3
07/07/2018 20:00,6,5.5,5.3
07/07/2018 21:00,6.1,5.7,5.1
07/07/2018 22:00,6.2,5.5,5.4
07/07/2018 23:00,6.1,5.6,5.1
08/07/2018 00:00,6.1,5.5,5.2
08/07/2018 01:00,6.1,5.6,5.4
08/07/2018 02:00,6.1,5.6,5.3
08/07/2018 03:00,6,5.6,5.3
08/07/2018 04:00,6.2,5.7,5.4
08/07/2018 05:00,6.2,5.6,5.4
08/07/2018 06:00,6.1,5.7,5.2
08/07/2018 07:00,6.1,5.5,5.1
08/07/2018 08:00,6.1,5.6,5.4
08/07/2018 09:00,6.2,5.5,5.2
08/07/2018 10:00,6.1,5.6,5.3
08/07/2018 11:00,6,5.6,5.3
08/07/2018 12:00,6.1,5.6,5.3
08/07/2018 13:00,6,5.5,5
08/07/2018 14:00,6.1,5.6,5.2
08/07/2018 15:00,6.1,5.5,5.1
08/07/2018 16:00,6.1,5.6,5.3
08/07/2018 17:00,6,5.6,5.4
08/07/2018 18:00,6.1,5.6,5.1
08/07/2018 19:00,6.2,5.5,5.3
08/07/2018 20:00,6.1,5.6,5.2
08/07/2018 21:00,6.2,5.5,5.1
08/07/2018 22:00,6.2,5.6,5.1
08/07/2018 23:00,6.1,5.6,5.4
09/07/2018 00:00,6.2,5.5,5.1
09/07/2018 01:00,6.1,5.6,5.2
09/07/2018 02:00,6.2,5.5,5.1
09/07/2018 03:00,6.1,5.5,5.1
09/07/2018 04:00,6.1,5.6,5.4
09/07/2018 05:00,6.2,5.7,5.2
09/07/2018 06:00,6.2,5.5,5.4
09/07/2018 07:00,6.1,5.5,5.1
09/07/2018 08:00,6.1,5.4,5.1
09/07/2018 09:00,6.1,5.6,5.4
09/07/2018 10:00,6.2,5.5,5.2
09/07/2018 11:00,6.3,5.6,5.2
09/07/2018 12:00,6.3,5.6,5.1
09/07/2018 13:00,6.3,5.7,5.2
09/07/2018 14:00,6.3,5.4,5.1
09/07/2018 15:00,6.2,5.6,5.3
09/07/2018 16:00,6.2,5.4,5.2
09/07/2018 17:00,6.4,5.6,5.2
09/07/2018 18:00,6.2,5.4,5.1
09/07/2018 19:00,6.2,5.5,5.1
09/07/2018 20:00,6.2,5.6,5.3
09/07/2018 21:00,6.2,5.6,5.2
09/07/2018 22:00,6.2,5.6,5.4
09/07/2018 23:00,6.2,5.6,5.3
10/07/2018 00:00,6.2,5.6,5.2
10/07/2018 01:00,6.2,5.5,5.2
10/07/2018 02:00,6.2,5.6,5.3
10/07/2018 03:00,6.2,5.5,5.2
10/07/2018 04:00,6.3,5.4,5.1
10/07/2018 05:00,6.2,5.5,5.3
10/07/2018 06:00,6.2,5.5,5.1
10/07/2018 07:00,6.1,5.4,5.2
10/07/2018 08:00,6.2,5.4,5.2
10/07/2018 09:00,6.2,5.5,5.2
10/07/2018 10:00,6.2,5.6,5.3
10/07/2018 11:00,6.2,5.6,5.3
10/07/2018 12:00,6.2,5.5,5.1
10/07/2018 13:00,6.2,5.6,5.2
10/07/2018 14:00,6.2,5.5,5.2
10/07/2018 15:00,6.2,5.5,5.3
10/07/2018 16:00,6.2,5.6,5.4
10/07/2018 17:00,6.3,5.7,5.5
10/07/2018 18:00,6.3,5.5,5.4
10/07/2018 19:00,6.2,5.5,5.4
10/07/2018 20:00,6.2,5.5,5.3
10/07/2018 21:00,6.2,5.5,5.3
10/07/2018 22:00,6.2,5.4,5.1
10/07/2018 23:00,6.2,5.4,5.1
11/07/2018 00:00,6.2,5.5,5.2
11/07/2018 01:00,6.2,5.5,5.3
11/07/2018 02:00,6.2,5.6,5.4
11/07/2018 03:00,6.2,5.5,5.2
11/07/2018 04:00,6.2,5.5,5.1
11/07/2018 05:00,6.2,5.6,5.4
11/07/2018 06:00,6.2,5.5,5.3
11/07/2018 07:00,6.2,5.6,5.4
11/07/2018 08:00,6.1,5.4,5.1
11/07/2018 09:00,6.2,5.5,5.1
11/07/2018 10:00,6.2,5.4,5.1
11/07/2018 11:00,6.2,5.4,5.1
11/07/2018 12:00,6.2,5.3,5.1
11/07/2018 13:00,6.2,5.6,5.4
11/07/2018 14:00,6.2,5.5,5.2
11/07/2018 15:00,6.1,5.4,5.3
11/07/2018 16:00,6.2,5.4,5.1
11/07/2018 17:00,6.2,5.2,5.1
11/07/2018 18:00,6.1,5.4,5.2
11/07/2018 19:00,6.2,5.5,5.2
11/07/2018 20:00,6.2,5.5,5.3
11/07/2018 21:00,6.2,5.5,5.2
11/07/2018 22:00,6.2,5.5,5.2
11/07/2018 23:00,6.2,5.5,5.3
12/07/2018 00:00,6.2,5.4,5.3
12/07/2018 01:00,6.2,5.4,5.1
12/07/2018 02:00,6.2,5.6,5.2
12/07/2018 03:00,6.2,5.5,5.2
12/07/2018 04:00,6.1,5.6,5.3
12/07/2018 05:00,6.2,5.5,5.3
12/07/2018 06:00,6.2,5.5,5.4
12/07/2018 07:00,6.2,5.5,5.3
12/07/2018 08:00,6.1,5.5,5.3
12/07/2018 09:00,6.1,5.5,5.4
12/07/2018 10:00,6.2,5.6,5.4
12/07/2018 11:00,6.2,5.5,5.2
12/07/2018 12:00,6.2,5.3,5.1
12/07/2018 13:00,6.2,5.5,5.4
12/07/2018 14:00,6.3,5.5,5.4
12/07/2018 15:00,6.2,5.1,5.1
12/07/2018 16:00,6.2,5.4,5.3
12/07/2018 17:00,6.3,5.3,5.2
12/07/2018 18:00,6.2,5.4,5.3
12/07/2018 19:00,6.2,5.4,5.2
12/07/2018 20:00,6.1,5.2,5.1
12/07/2018 21:00,6.1,5.1,5.1
12/07/2018 22:00,6.2,5.4,5.3
12/07/2018 23:00,6.2,5.2,5.1
13/07/2018 00:00,6.1,5.4,5.3
13/07/2018 01:00,6.2,5.4,5.2
13/07/2018 02:00,6.1,5.4,5.3
13/07/2018 03:00,6.2,5.4,5.2
13/07/2018 04:00,6.2,5.4,5.2
13/07/2018 05:00,6.1,5.4,5.3
13/07/2018 06:00,6.1,5.2,5.1
13/07/2018 07:00,6.2,5.5,5.4
13/07/2018 08:00,6.2,5.2,5.1
13/07/2018 09:00,6.2,5.5,5.3
13/07/2018 10:00,6.3,5.2,5.1
13/07/2018 11:00,6.2,5.4,5.3
13/07/2018 12:00,6.2,5.2,5.2
13/07/2018 13:00,6.3,5.3,5.2
13/07/2018 14:00,6.2,5.3,5.3
13/07/2018 15:00,6.2,5.2,5.1
13/07/2018 16:00,6.2,5.2,5.3
13/07/2018 17:00,6.2,5.2,5.2
13/07/2018 18:00,6.2,5.4,5.3
13/07/2018 19:00,6.2,5.4,5.4
13/07/2018 20:00,6.2,5.5,5.3
13/07/2018 21:00,6.2,5.2,5.1
13/07/2018 22:00,6.2,5.5,5.4
13/07/2018 23:00,6.2,5.4,5.2
14/07/2018 00:00,6.2,5.4,5.2
14/07/2018 01:00,6.2,5.4,5.2
14/07/2018 02:00,6.2,5.5,5.3
14/07/2018 03:00,6.2,5.2,5.1
14/07/2018 04:00,6.2,5.4,5.2
14/07/2018 05:00,6.2,5.4,5.3
14/07/2018 06:00,6.2,5.3,5.1
14/07/2018 07:00,6.2,5.4,5.3
14/07/2018 08:00,6.2,5.3,5.1
14/07/2018 09:00,6.1,5.2,5.1
14/07/2018 10:00,6.2,5.5,5.4
14/07/2018 11:00,6.2,5.5,5.4
14/07/2018 12:00,6.2,5.4,5.3
14/07/2018 13:00,6.2,5.4,5.3
14/07/2018 14:00,6.2,5.4,5.2
14/07/2018 15:00,6.2,5.5,5.2
14/07/2018 16:00,6.2,5.5,5.2
14/07/2018 17:00,6.2,5.4,5.2
14/07/2018 18:00,6.2,5.4,5.3
14/07/2018 19:00,6.2,5.4,5.3
14/07/2018 20:00,6.2,5.4,5.1
14/07/2018 21:00,6.2,5.4,5.4
14/07/2018 22:00,6.2,5.5,5.4
14/07/2018 23:00,6.2,5.5,5.3
15/07/2018 00:00,6.2,5.4,5.2
15/07/2018 01:00,6.2,5.3,5.3
15/07/2018 02:00,6.2,5.4,5.3
15/07/2018 03:00,6.2,5.4,5.4
15/07/2018 04:00,6.2,5.2,5
15/07/2018 05:00,6.2,5.3,5.3
15/07/2018 06:00,6.2,5.4,5.2
15/07/2018 07:00,6.2,5.4,5.3
15/07/2018 08:00,6.2,5.5,5.3
15/07/2018 09:00,6.2,5.4,5.3
15/07/2018 10:00,6.2,5.1,5.1
15/07/2018 11:00,6.2,5.3,5.2
15/07/2018 12:00,6.2,5.4,5.4
15/07/2018 13:00,6.2,5.4,5.3
15/07/2018 14:00,6.2,5.4,5.2
15/07/2018 15:00,6.2,5.4,5.3
15/07/2018 16:00,6.2,5.3,5.2
15/07/2018 17:00,6.2,5.4,5.3
15/07/2018 18:00,6.2,5.5,5.4
15/07/2018 19:00,6.2,5.5,5.4
15/07/2018 20:00,6.2,5.4,5.3
15/07/2018 21:00,6.3,5.5,5.4
15/07/2018 22:00,6.2,5.5,5.3
15/07/2018 23:00,6.3,5.4,5.2
16/07/2018 00:00,6.2,5.4,5.2
16/07/2018 01:00,6.2,5.4,5.1
16/07/2018 02:00,6.2,5.5,5.4
16/07/2018 03:00,6.3,5.5,5.4
16/07/2018 04:00,6.2,5.3,5.1
16/07/2018 05:00,6.3,5.5,5.4
16/07/2018 06:00,6.2,5.4,5.3
16/07/2018 07:00,6.3,5.4,5.1
16/07/2018 08:00,6.2,5.3,5.2
16/07/2018 09:00,6.2,5.5,5.3
